2022/03/19 18:36:30,248 [INFO ]  [org.springframework.boot.StartupInfoLogger] [restartedMain]- Starting HealthApiApplication using Java 17.0.2 on DESKTOP-FN0KFSU with PID 15376 (C:\Users\erash\IdeaProjects\spring-boot-rest-api\out\production\classes started by erash in C:\Users\erash\IdeaProjects\spring-boot-rest-api)
 -2022/03/19 18:36:30,267 [INFO ]  [org.springframework.boot.SpringApplication] [restartedMain]- The following profiles are active: local
 -2022/03/19 18:36:33,654 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration boolean -> org.hibernate.type.BooleanType@4e760f3f
 -2022/03/19 18:36:33,654 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration boolean -> org.hibernate.type.BooleanType@4e760f3f
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4e760f3f
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@11414714
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration true_false -> org.hibernate.type.TrueFalseType@78b595b2
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration yes_no -> org.hibernate.type.YesNoType@6178cf48
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration byte -> org.hibernate.type.ByteType@7f3b0f18
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration byte -> org.hibernate.type.ByteType@7f3b0f18
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7f3b0f18
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration character -> org.hibernate.type.CharacterType@57bc73b3
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration char -> org.hibernate.type.CharacterType@57bc73b3
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@57bc73b3
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration short -> org.hibernate.type.ShortType@290cc249
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration short -> org.hibernate.type.ShortType@290cc249
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.lang.Short -> org.hibernate.type.ShortType@290cc249
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration integer -> org.hibernate.type.IntegerType@6eac3793
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration int -> org.hibernate.type.IntegerType@6eac3793
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6eac3793
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration long -> org.hibernate.type.LongType@10c474a
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration long -> org.hibernate.type.LongType@10c474a
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.lang.Long -> org.hibernate.type.LongType@10c474a
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration float -> org.hibernate.type.FloatType@231d660d
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration float -> org.hibernate.type.FloatType@231d660d
 -2022/03/19 18:36:33,670 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.lang.Float -> org.hibernate.type.FloatType@231d660d
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration double -> org.hibernate.type.DoubleType@4692858d
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration double -> org.hibernate.type.DoubleType@4692858d
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4692858d
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7160fa00
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7160fa00
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration big_integer -> org.hibernate.type.BigIntegerType@734e8973
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@734e8973
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration string -> org.hibernate.type.StringType@3b56cf27
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.lang.String -> org.hibernate.type.StringType@3b56cf27
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration nstring -> org.hibernate.type.StringNVarcharType@7a7aa524
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4a36af86
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration url -> org.hibernate.type.UrlType@725e2138
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.net.URL -> org.hibernate.type.UrlType@725e2138
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration Duration -> org.hibernate.type.DurationType@197f60c9
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.time.Duration -> org.hibernate.type.DurationType@197f60c9
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration Instant -> org.hibernate.type.InstantType@41d5024d
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.time.Instant -> org.hibernate.type.InstantType@41d5024d
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@1c0673c1
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@1c0673c1
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration LocalDate -> org.hibernate.type.LocalDateType@57839c77
 -2022/03/19 18:36:33,685 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@57839c77
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@2b6a3b47
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@2b6a3b47
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@783dda68
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@783dda68
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@b7606e4
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@b7606e4
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@73129e81
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@73129e81
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration date -> org.hibernate.type.DateType@1bfc20d9
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.sql.Date -> org.hibernate.type.DateType@1bfc20d9
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration time -> org.hibernate.type.TimeType@2c460b03
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.sql.Time -> org.hibernate.type.TimeType@2c460b03
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration timestamp -> org.hibernate.type.TimestampType@14087848
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@14087848
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.util.Date -> org.hibernate.type.TimestampType@14087848
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@241dcbeb
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration calendar -> org.hibernate.type.CalendarType@10591d15
 -2022/03/19 18:36:33,701 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@10591d15
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@10591d15
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@5dd95634
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@6a0d2d8b
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration locale -> org.hibernate.type.LocaleType@123c026c
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@123c026c
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration currency -> org.hibernate.type.CurrencyType@59e1c1de
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@59e1c1de
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration timezone -> org.hibernate.type.TimeZoneType@a9ae449
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@a9ae449
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration class -> org.hibernate.type.ClassType@52b12ac6
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.lang.Class -> org.hibernate.type.ClassType@52b12ac6
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@2afbe74d
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@2afbe74d
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@6742c746
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration binary -> org.hibernate.type.BinaryType@2b2028d7
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration byte[] -> org.hibernate.type.BinaryType@2b2028d7
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration [B -> org.hibernate.type.BinaryType@2b2028d7
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@7d776149
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@7d776149
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@7d776149
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration row_version -> org.hibernate.type.RowVersionType@4ccb2b
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration image -> org.hibernate.type.ImageType@161412cb
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration characters -> org.hibernate.type.CharArrayType@67df9e35
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration char[] -> org.hibernate.type.CharArrayType@67df9e35
 -2022/03/19 18:36:33,717 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration [C -> org.hibernate.type.CharArrayType@67df9e35
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@2c9f123f
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@2c9f123f
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@2c9f123f
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration text -> org.hibernate.type.TextType@68cd4e94
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration ntext -> org.hibernate.type.NTextType@55e43a6
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration blob -> org.hibernate.type.BlobType@1df64729
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@1df64729
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@3f8663f0
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration clob -> org.hibernate.type.ClobType@69a57a12
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@69a57a12
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration nclob -> org.hibernate.type.NClobType@c7cdf81
 -2022/03/19 18:36:33,732 [DEBUG]  [org.hibernate.type.BasicTypeRegistry] [restartedMain]- Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@c7cdf81
